,alcohol,pH,citric acid,free sulfur dioxide,total sulfur dioxide,residual sugar,quality
1,-1.393010236,-1.246793986,0.213258429,0.569873394,0.744489024,2.821061144,Good
2,-0.824191529,0.739953092,0.047996221,-1.252890744,-0.149669343,-0.944668824,Good
3,-0.336632638,0.475053481,0.543782844,-0.312109253,-0.97323626,0.100271952,Good
4,-0.499152268,0.011479163,-0.117265987,0.68747108,1.120976757,0.415725772,Good
5,-0.499152268,0.011479163,-0.117265987,0.68747108,1.120976757,0.415725772,Good
6,-0.336632638,0.475053481,0.543782844,-0.312109253,-0.97323626,0.100271952,Good
7,-0.742931714,-0.054745739,-1.439363647,-0.312109253,-0.05554741,0.119987816,Good
8,-1.393010236,-1.246793986,0.213258429,0.569873394,0.744489024,2.821061144,Good
9,-0.824191529,0.739953092,0.047996221,-1.252890744,-0.149669343,-0.944668824,Good
10,0.3947057,0.210153871,0.791676155,-0.42970694,-0.220260793,-0.964384688,Good
11,1.207303852,-1.313018888,0.626413947,-1.429287273,-1.773272694,-0.97424262,Fair
12,-0.661671899,-0.31964535,0.543782844,-1.076494214,-0.69087046,-0.432056368,Fair
13,0.232186069,-0.054745739,0.295889532,-1.135293057,-1.490906894,-1.023532279,Fair
14,1.532343113,2.329350754,0.543782844,0.746269923,0.109165973,-0.964384688,Nice
15,-0.661671899,-1.379243791,2.361667127,0.334678021,0.79154999,2.535181121,Fair
16,0.719744961,0.408828579,0.378520636,-0.42970694,-0.62027901,-0.964384688,Nice
17,-0.742931714,0.342603676,-2.430936892,-0.312109253,-0.926175293,-1.043248143,Good
18,1.857382374,0.9386278,1.204831674,-0.370908097,-1.490906894,-1.023532279,Excellent
19,0.638485145,-0.452095155,0.709045051,-1.076494214,0.768019507,-1.043248143,Good
20,-0.824191529,0.210153871,-1.604625855,-0.076913881,-0.12613886,0.218567135,Fair
21,1.857382374,0.9386278,1.204831674,-0.370908097,-1.490906894,-1.023532279,Excellent
22,0.3947057,-0.120970642,0.378520636,-0.958896528,-0.855583843,-0.688362596,Nice
23,-0.011593377,1.865776436,0.709045051,0.334678021,-0.384974177,-0.924952961,Excellent
24,-0.98671116,-0.915669473,-1.604625855,-0.606103469,0.697428057,-0.964384688,Fair
25,-0.417892453,1.534651923,0.626413947,-1.135293057,0.08563549,-1.003816415,Good
26,-0.092853192,0.408828579,-0.117265987,1.216660668,2.509275274,0.51430509,Good
27,-0.417892453,1.733326631,0.130627325,-0.018115038,0.179757424,-1.062964006,Good
28,-0.011593377,1.269752313,0.46115174,-0.194511567,0.062105007,0.455157499,Good
29,0.882264591,0.011479163,1.204831674,-1.076494214,-0.149669343,-1.043248143,Good
30,1.451083298,-0.58454496,0.213258429,0.099482649,-0.573218043,-0.865805369,Nice
31,-0.417892453,0.077704066,0.46115174,-0.900097685,0.08563549,0.790327182,Good
32,-0.255372822,1.865776436,0.047996221,-1.664482646,-2.149760427,-1.043248143,Good
33,0.232186069,0.011479163,0.213258429,-0.25331041,-0.90264481,-0.855947438,Good
34,-1.230490606,1.534651923,0.047996221,0.452275708,-0.502626593,-0.964384688,Good
35,-0.255372822,1.20352741,-1.108839232,-0.782499999,0.956263374,1.687398981,Fair
36,1.857382374,0.011479163,0.791676155,-0.841298842,-0.361443693,-0.924952961,Fair
37,-0.417892453,0.342603676,-0.860945921,-0.606103469,0.250348874,-0.195466003,Fair
